"id","created_time","type","availability","quality_percent","made","defected","proiz_vobez_raboti","planned","all_stopped_time","all_working_time","stop_not_planned","stop_planned","all_time"
180,"2020-08-29","SAW3","75.17","99.1",5091,46,0,11045,"357.58",1082,357,0,1440
181,"2020-08-30","SAW1","31.02","99.58",9900,42,0,262145,"993.38",446,993,0,1440
182,"2020-08-30","SAW2","99.79","32.5",320,216,0,3209,"3",1437,3,0,1440
183,"2020-08-30","SAW3","99.99","96.69",3380,112,0,19197,"0.2",1439,0,0,1440
184,"2020-08-31","SAW1","22.07","100",2458,0,0,48266,"1122.25",317,1122,0,1440
185,"2020-08-31","SAW2","77.84","97.44",11051,283,0,27947,"319.17",1120,319,0,1440
186,"2020-08-31","SAW3","98.43","98.8",4339,52,0,39723,"22.57",1417,22,0,1440
187,"2020-09-01","SAW1","2.28","100",70,0,0,1183,"1407.13",32,1407,0,1440
188,"2020-09-01","SAW2","22.58","31.37",51,35,0,726,"1114.92",325,1114,0,1440
189,"2020-09-01","SAW3","16.93","0",0,0,0,365775,"1196.15",243,1196,0,1440
190,"2020-09-02","SAW1","37.43","98.77",9324,115,0,16099,"901.05",538,901,0,1440
191,"2020-09-02","SAW2","93.13","98.11",13420,254,0,29353,"228.15",1211,89,138,1440
192,"2020-09-02","SAW3","94.08","99.19",4428,36,0,18064,"85.18",1354,85,0,1440
193,"2020-09-03","SAW1","38.98","99.55",9864,44,0,16472,"878.73",561,878,0,1440
194,"2020-09-03","SAW2","90.84","0",0,157,0,43602,"131.93",1308,131,0,1440
195,"2020-09-03","SAW3","95.82","99.67",4280,14,0,672079,"60.25",1379,60,0,1440
196,"2020-09-04","SAW1","22.44","97.52",5566,138,5,12372,"1116.9",323,1116,0,1440
197,"2020-09-04","SAW2","36.85","98.54",11424,167,0,4463,"909.32",530,909,0,1440
198,"2020-09-04","SAW3","98.26","98.3",2471,42,0,13842,"25.12",1414,25,0,1440
199,"2020-09-05","SAW1","13.39","99.68",3803,12,35,7710,"1247.25",192,1247,0,1440
200,"2020-09-05","SAW2","15.89","92.12",2562,202,0,1685,"1211.2",228,1211,0,1440
201,"2020-09-05","SAW3","99.93","95.8",1618,68,0,21563,"1.02",1438,1,0,1440
